CODIGO,NOMBRE,UNIV TIPO,ESTADO LICENCIAMIENTO,PERIODO LICENC,DEPARTAMENTO,PROVINCIA,DISTRITO,LATITUD,LONGITUD
035,UNIVERSIDAD NACIONAL DE UCAYALI,PUBLICO,LICENCIADA,6,UCAYALI,CORONEL PORTILLO,MANANTAY,-9.8251182999999997,-73.087749000000002
036,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PRIVADA ASOCIATIVA,EN PROCESO,,PUNO,SAN ROMAN,JULIACA,-15.234875000000001,-70.050314
037,UNIVERSIDAD PERUANA LOS ANDES,PRIVADA ASOCIATIVA,EN PROCESO,,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.341217900000004
038,UNIVERSIDAD PERUANA UNIÓN,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,CHACLACAYO,-12.046374,-77.042793399999994
039,UNIVERSIDAD ANDINA DEL CUSCO,PRIVADA ASOCIATIVA,LICENCIADA,6,CUSCO,CUSCO,SAN JERÓNIMO,-13.53195,-71.967462600000005
040,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,PRIVADA ASOCIATIVA,EN PROCESO,,APURiMAC,ABANCAY,ABANCAY,-14.050453299999999,-73.087749000000002
041,UNIVERSIDAD NACIONAL DE TUMBES,PUBLICO,EN PROCESO,,TUMBES,TUMBES,TUMBES,-3.5628614999999999,-80.451701400000005
042,UNIVERSIDAD NACIONAL DEL SANTA,PUBLICO,LICENCIADA,6,ANCASH,SANTA,NUEVO CHIMBOTE,-9.3250496999999992,-77.561941899999994
043,UNIVERSIDAD PRIVADA DE TACNA,PRIVADA ASOCIATIVA,LICENCIADA,6,TACNA,TACNA,POCOLLAY,-18.0065679,-70.246274099999994
044,UNIVERSIDAD PARTICULAR DE CHICLAYO,PRIVADA ASOCIATIVA,EN PROCESO,,LAMBAYEQUE,CHICLAYO,PIMENTEL,-6.4776528000000004,-79.9192702
045A,UNIVERSIDAD SAN PEDRO,PRIVADA ASOCIATIVA,EN PROCESO,,ANCASH,SANTA,CHIMBOTE,-9.3250496999999992,-77.561941899999994
046,UNIVERSIDAD PRIVADA ANTENOR ORREGO,PRIVADA ASOCIATIVA,LICENCIADA,6,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435932999999991,-78.475194500000001
047,UNIVERSIDAD DE HUÁNUCO,PRIVADA ASOCIATIVA,LICENCIADA,6,HUaNUCO,HUÁNUCO,HUÁNUCO,-9.9298453999999996,-76.243265300000004
048A,UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,PRIVADA ASOCIATIVA,EN PROCESO,,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.192736100000001,-70.932813800000005
049,UNIVERSIDAD MARCELINO CHAMPAGNAT,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.042793399999994
050A,UNIVERSIDAD CIENTÍFICA DEL PERÚ,PRIVADA ASOCIATIVA,EN PROCESO,,LORETO,MAYNAS,SAN JUAN BAUTISTA,-4.2324729000000003,-74.217932599999997
051,UNIVERSIDAD NACIONAL DE HUANCAVELICA,PUBLICO,LICENCIADA,6,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,-12.7861978,-74.976402399999998
052A,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,-8.1435932999999991,-78.475194500000001
053A,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,PRIVADA ASOCIATIVA,EN PROCESO,,ANCASH,SANTA,CHIMBOTE,-9.3250496999999992,-77.561941899999994
054,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.042793399999994
055,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435932999999991,-78.475194500000001
057,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,LA MOLINA,-12.046374,-77.042793399999994
059,UNIVERSIDAD ALAS PERUANAS S.A.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.042793399999994
061,UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,LIMA,-12.046374,-77.042793399999994
062,UNIVERSIDAD CATÓLICA SAN PABLO,PRIVADA ASOCIATIVA,LICENCIADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.409047399999999,-71.537451000000004
063A,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,ICA,ICA,ICA,-13.9379378,-75.800709299999994
064A,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,CHORRILLOS,-12.046374,-77.042793399999994
065,UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,LIMA,-12.046374,-77.042793399999994
067A,UNIVERSIDAD CONTINENTAL S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.341217900000004
068,UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,VILLA EL SALVADOR,-12.046374,-77.042793399999994
069,UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,PRIVADA ASOCIATIVA,LICENCIADA,6,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.4776528000000004,-79.9192702
070,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO,PRIVADA SOCIETARIA,EN PROCESO,,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.1617464999999996,-78.512785500000007
071,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,LOS OLIVOS,-12.046374,-77.042793399999994
072,UNIVERSIDAD SEÑOR DE SIPÁN,PRIVADA SOCIETARIA,EN PROCESO,,LAMBAYEQUE,CHICLAYO,PIMENTEL,-6.4776528000000004,-79.9192702
074A,ASOCIACIÓN CIVIL UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,PRIVADA ASOCIATIVA,LICENCIADA,6,LA LIBERTAD,TRUJILLO,MOCHE,-8.1435932999999991,-78.475194500000001
075,UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,PUBLICO,EN PROCESO,,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,-12.598599999999999,-70.090584000000007
076,UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,PUBLICO,LICENCIADA,6,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,-5.1151460000000002,-78.110827900000004
077,UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC,PUBLICO,EN PROCESO,,APURiMAC,ABANCAY,TAMBURCO,-14.050453299999999,-73.087749000000002
078,UNIVERSIDAD PERUANA DE LAS AMÉRICAS SAC,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,LIMA,-12.046374,-77.042793399999994
079,UNIVERSIDAD ESAN,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.042793399999994
080,UNIVERSIDAD ANTONIO RUÍZ DE MONTOYA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.042793399999994
081,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.042793399999994
082,UNIVERSIDAD PARA EL DESARROLLO ANDINO,PRIVADA ASOCIATIVA,LICENCIADA,6,HUANCAVELICA,ANGARAES,LIRCAY,-12.7861978,-74.976402399999998
083,UNIVERSIDAD PRIVADA TELESUP S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,LIMA,-12.046374,-77.042793399999994
084,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA,PUBLICO,LICENCIADA,6,UCAYALI,CORONEL PORTILLO,YARINACOCHA,-9.8251182999999997,-73.087749000000002
085,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,-12.046374,-77.042793399999994
086,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,UCAYALI,CORONEL PORTILLO,CALLERÍA,-9.8251182999999997,-73.087749000000002
087A,UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,ICA,CHINCHA,CHINCHA ALTA,-13.9379378,-75.800709299999994
088A,UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR,PUBLICO,LICENCIADA,6,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,-12.046374,-77.042793399999994
089,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,PUBLICO,LICENCIADA,6,APURiMAC,ANDAHUAYLAS,ANDAHUAYLAS,-14.050453299999999,-73.087749000000002
090,UNIVERSIDAD PRIVADA DE TRUJILLO,PRIVADA ASOCIATIVA,EN PROCESO,,LA LIBERTAD,TRUJILLO,SIMBAL,-8.1435932999999991,-78.475194500000001
091,UNIVERSIDAD PRIVADA SAN CARLOS SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,PUNO,PUNO,PUNO,-15.234875000000001,-70.050314
092,UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.042793399999994
093,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.042793399999994
094,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LORETO,MAYNAS,SAN JUAN BAUTISTA,-4.2324729000000003,-74.217932599999997
095,UNIVERSIDAD NACIONAL DE MOQUEGUA,PUBLICO,LICENCIADA,6,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.192736100000001,-70.932813800000005
096,UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,VILLA EL SALVADOR,-12.046374,-77.042793399999994
097,UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,LOS OLIVOS,-12.046374,-77.042793399999994
098,UNIVERSIDAD NACIONAL DE JULIACA,PUBLICO,LICENCIADA,6,PUNO,SAN ROMAN,JULIACA,-15.234875000000001,-70.050314
099,UNIVERSIDAD PRIVADA JUAN MEJÍA BACA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.4776528000000004,-79.9192702
100,UNIVERSIDAD JAIME BAUSATE Y MEZA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.042793399999994
101,UNIVERSIDAD NACIONAL DE JAÉN,PUBLICO,LICENCIADA,6,CAJAMARCA,JAEN,JAEN,-7.1617464999999996,-78.512785500000007
102,UNIVERSIDAD PERUANA DEL CENTRO,PRIVADA ASOCIATIVA,EN PROCESO,,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.341217900000004
103,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,LIMA,-12.046374,-77.042793399999994
104,UNIVERSIDAD LE CORDON BLEU S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,MIRAFLORES,-12.046374,-77.042793399999994
105,UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,LICENCIADA,6,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.341217900000004
106,UNIVERSIDAD NACIONAL DE FRONTERA,PUBLICO,LICENCIADA,6,PIURA,SULLANA,SULLANA,-5.1782883999999996,-80.654888200000002
107,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.4776528000000004,-79.9192702
108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,LA MOLINA,-12.046374,-77.042793399999994
109,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,SAN BORJA,-12.046374,-77.042793399999994
110,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA,PRIVADA SOCIETARIA,EN PROCESO,,LORETO,MAYNAS,IQUITOS,-4.2324729000000003,-74.217932599999997
111,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.409047399999999,-71.537451000000004
112,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AYACUCHO,HUAMANGA,AYACUCHO,-13.1638737,-74.223564100000004
113,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,PRIVADA SOCIETARIA,DENEGADA,6,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.042793399999994
114,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,CUSCO,CUSCO,-13.53195,-71.967462600000005
115,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.409047399999999,-71.537451000000004
116,UNIVERSIDAD SAN ANDRÉS S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,INDEPENDENCIA,-12.046374,-77.042793399999994
117,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,BREÑA,-12.046374,-77.042793399999994
118,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,SURQUILLO,-12.046374,-77.042793399999994
119,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435932999999991,-78.475194500000001
120,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,PUBLICO,LICENCIADA,6,CAJAMARCA,CHOTA,CHOTA,-7.1617464999999996,-78.512785500000007
121,UNIVERSIDAD NACIONAL DE BARRANCA,PUBLICO,LICENCIADA,6,LIMA,BARRANCA,BARRANCA,-12.046374,-77.042793399999994
122,UNIVERSIDAD NACIONAL DE CAÑETE,PUBLICO,LICENCIADA,6,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,-12.046374,-77.042793399999994
126,UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,PUBLICO,LICENCIADA,6,LORETO,ALTO AMAZONAS,YURIMAGUAS,-4.2324729000000003,-74.217932599999997
128,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA,PUBLICO,LICENCIADA,6,AYACUCHO,HUANTA,HUANTA,-13.1638737,-74.223564100000004
132,UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,BARRANCO,-12.046374,-77.042793399999994
133,UNIVERSIDAD LA SALLE,PRIVADA ASOCIATIVA,LICENCIADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.409047399999999,-71.537451000000004
134,UNIVERSIDAD LATINOAMERICANA CIMA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,TACNA,TACNA,TACNA,-18.0065679,-70.246274099999994
135,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.409047399999999,-71.537451000000004
136,UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.046374,-77.042793399999994
137A,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,-5.1151460000000002,-78.110827900000004
140,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.046374,-77.042793399999994
141,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,CALLAO,CALLAO,CALLAO,-12.050849100000001,-77.125984299999999
142,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,LA CONVENCIÓN,SANTA ANA,-13.53195,-71.967462600000005
144,UNIVERSIDAD GLOBAL DEL CUSCO SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,CUSCO,CUSCO,-13.53195,-71.967462600000005
145,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.341217900000004
146,UNIVERSIDAD PRIVADA SISE S.A.C.,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,ATE,-12.046374,-77.042793399999994
147,UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,LA MOLINA,-12.046374,-77.042793399999994
148,UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.042793399999994
149,UNIVERSIDAD CATÓLICA SAN JOSÉ,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.042793399999994

